,label,tfidf,pmi,country,lda,alg,kmeans_plain
64,male,0.011456404487624604,0.028425190844610666,6,1,kmeans_plain,1
65,catch,0.011402355838011033,0.028289185146789565,6,1,kmeans_plain,1
66,aquaculture,0.011348591549387568,0.02815447474132866,6,1,kmeans_plain,1
67,body,0.011292474016752927,0.02801435693256805,6,1,kmeans_plain,1
68,breed,0.01121658526857475,0.02782634111422867,6,1,kmeans_plain,1
69,land,0.011163795894331136,0.027696224622712567,6,1,kmeans_plain,1
70,wheat,0.009865879795034501,0.03105926780842928,3,1,kmeans_plain,1
71,german,0.009640466315415878,0.030862386779209515,3,1,kmeans_plain,1
72,age,0.010155252703455995,0.030819593143176408,3,1,kmeans_plain,1
73,italian,0.009714590038793923,0.030793523873607554,3,1,kmeans_plain,1
74,quality,0.009897831549421489,0.030790220438183958,3,1,kmeans_plain,1
75,champagne,0.010114779706543139,0.030769478246734965,3,1,kmeans_plain,1
76,producer,0.010187578476304448,0.03075608493880682,3,1,kmeans_plain,1
77,france,0.010156812264961013,0.03075218009289676,3,1,kmeans_plain,1
78,winery,0.010062814263225306,0.03074010717542723,3,1,kmeans_plain,1
79,juice,0.008477326786297132,0.0225222380851396,4,1,kmeans_plain,1
80,white,0.008442405206463647,0.022406449025446883,4,1,kmeans_plain,1
81,oil,0.008409327735604346,0.022313066299818145,4,1,kmeans_plain,1
82,long,0.008386528902313391,0.022269401172764765,4,1,kmeans_plain,1
83,green,0.008358642444802375,0.022176571756607703,4,1,kmeans_plain,1
84,cultivate,0.008258218610728032,0.02190853194353472,4,1,kmeans_plain,1
85,india,0.008208472264441092,0.021776927213021248,4,1,kmeans_plain,1
86,harvest,0.008153556449790607,0.021632541817940713,4,1,kmeans_plain,1
87,china,0.00812078575179966,0.021546825951401078,4,1,kmeans_plain,1
88,root,0.008115887261339029,0.02153695164121659,4,1,kmeans_plain,1
89,banana,0.008489139247969008,0.019771052878037775,5,1,kmeans_plain,1
90,apple,0.008464761518745256,0.019726091827265264,5,1,kmeans_plain,1
91,cultivar,0.008421829775418168,0.01964821720626639,5,1,kmeans_plain,1
92,contain,0.008320670453267317,0.019449778205165087,5,1,kmeans_plain,1
93,crop,0.008239569219790164,0.019299521686520278,5,1,kmeans_plain,1
94,chinese,0.00818277125437176,0.019193688658385683,5,1,kmeans_plain,1
95,specie,0.007969350417682783,0.018790535883534756,5,1,kmeans_plain,1
96,find,0.007424154269462869,0.01784463080307176,5,1,kmeans_plain,1
97,tree,0.007387625893068757,0.01784252394773351,5,1,kmeans_plain,1
98,seed,0.006677735741151734,0.01699365342387934,5,1,kmeans_plain,1
