article_id,country,prob
88,4,0.027125855907797813
88,6,0.6228513717651367
89,0,0.12019209563732147
89,2,0.5615103840827942
89,3,0.02073022909462452
89,6,0.2945902645587921
90,1,0.06162724271416664
90,2,0.03650754690170288
90,4,0.16377533972263336
90,5,0.049076490104198456
90,6,0.688378632068634
91,1,0.126187264919281
91,2,0.7091091871261597
91,3,0.12549905478954315
91,6,0.02991030365228653
92,0,0.044844500720500946
92,2,0.8626542687416077
92,4,0.035200368613004684
92,6,0.04958949610590935
93,1,0.026100652292370796
93,2,0.8532788753509521
93,3,0.07537675648927689
93,5,0.010663826018571854
93,6,0.03436557203531265
94,0,0.03192435950040817
94,5,0.9617005586624146
95,0,0.4492994248867035
95,1,0.03506693243980408
95,3,0.29862040281295776
95,4,0.1366000920534134
95,5,0.018398869782686234
95,6,0.05373707786202431
96,0,0.020666012540459633
96,2,0.854594886302948
96,3,0.11659333109855652
97,0,0.05199082940816879
97,2,0.8722386956214905
97,3,0.03698758780956268
97,6,0.030413221567869186
98,1,0.47560444474220276
98,4,0.2808770537376404
98,6,0.24320487678050995
99,1,0.0612017959356308
99,3,0.42061254382133484
99,4,0.12654002010822296
99,5,0.011023284867405891
99,6,0.3801613450050354
100,0,0.022486072033643723
100,3,0.17582963407039642
100,5,0.02596854232251644
100,6,0.7756330966949463
101,2,0.055150266736745834
101,3,0.2811787724494934
101,4,0.03373610973358154
101,6,0.6296197772026062
102,1,0.04550886154174805
102,2,0.27116596698760986
102,3,0.08191187679767609
102,6,0.5916221737861633
103,1,0.24718299508094788
103,4,0.18951760232448578
103,5,0.01733986847102642
103,6,0.5457369089126587
104,0,0.011074473150074482
104,1,0.1602139174938202
104,5,0.5921187400817871
104,6,0.2363964170217514
105,0,0.15904857218265533
105,1,0.011809286661446095
105,3,0.021579446271061897
105,5,0.7830438613891602
105,6,0.024398379027843475
106,0,0.31406503915786743
106,2,0.025635050609707832
106,5,0.6559714674949646
107,0,0.2946033179759979
107,5,0.6964903473854065
108,5,0.9991010427474976
109,0,0.4972907304763794
109,2,0.3655237555503845
109,4,0.012102055363357067
109,6,0.12253176420927048
110,1,0.08759687095880508
110,2,0.13545289635658264
110,3,0.023115307092666626
110,4,0.023857122287154198
110,6,0.7299448847770691
111,0,0.14483977854251862
