,label,tfidf,pmi,country,key_words,alg,kmeans_augmented
51,fisheries,0.00928278640939754,0.09297687279351229,5,1,kmeans_augmented,1
52,sea,0.008996904066767527,0.0677468576532629,5,1,kmeans_augmented,1
53,fishing,0.008739167781702046,0.06664485294593792,5,1,kmeans_augmented,1
54,females,0.008051097324698988,0.08224468519106115,5,1,kmeans_augmented,1
55,species,0.007856181173588751,0.03855370218730161,5,1,kmeans_augmented,1
56,eggs,0.006337724557359807,0.034590502673935715,5,1,kmeans_augmented,1
57,live,0.006203157235392095,0.03893475276571725,5,1,kmeans_augmented,1
58,populations,0.006017633456588692,0.04628640411397637,5,1,kmeans_augmented,1
59,ocean,0.005922526324535367,0.06348653138461904,5,1,kmeans_augmented,1
60,cultivation,0.007820062385050558,0.02989876970855232,6,1,kmeans_augmented,1
61,leaves,0.007818281668579567,0.02755981396736968,6,1,kmeans_augmented,1
62,plants,0.007739482444463237,0.02568370871130808,6,1,kmeans_augmented,1
63,flowers,0.007158790137773274,0.029697556315366053,6,1,kmeans_augmented,1
64,seeds,0.006887266733050357,0.026301016153626226,6,1,kmeans_augmented,1
65,growing,0.006803418765416527,0.02402957370693101,6,1,kmeans_augmented,1
66,uses,0.006053254735494561,0.016622864392888667,6,1,kmeans_augmented,1
67,cultivars,0.00578221716286929,0.025860846624501582,6,1,kmeans_augmented,1
68,fruits,0.0053914042490102055,0.019098968812877263,6,1,kmeans_augmented,1
69,varieties,0.0049715238881655795,0.015568984605651625,6,1,kmeans_augmented,1
70,processed,0.0037668832191357464,0.016079097691326098,0,1,kmeans_augmented,1
71,increases,0.003635424041358006,0.015660415996492212,0,1,kmeans_augmented,1
72,chemicals,0.0030151458329714617,0.01509272288838444,0,1,kmeans_augmented,1
73,reducing,0.0031103903790588735,0.014768244230626273,0,1,kmeans_augmented,1
74,dish,0.006524053900342151,0.01744542413456129,1,1,kmeans_augmented,1
75,sauce,0.004171775985572961,0.012156706081136393,1,1,kmeans_augmented,1
76,bread,0.004061798809586388,0.012132147078952282,1,1,kmeans_augmented,1
77,star,0.0049612573728692695,0.027795032322650796,2,1,kmeans_augmented,1
78,street,0.005689742564763786,0.02704052322856058,2,1,kmeans_augmented,1
79,worked,0.005980044065512583,0.026165876529681487,2,1,kmeans_augmented,1
80,announced,0.004760921713860326,0.016807157263277653,3,1,kmeans_augmented,1
81,purchased,0.004516440912203301,0.015871190870454344,3,1,kmeans_augmented,1
82,vineyards,0.004170732911025496,0.021746475099862102,4,1,kmeans_augmented,1
83,spirits,0.00401061661659532,0.020875139255453368,4,1,kmeans_augmented,1
84,grapes,0.003919222709862017,0.019497922276002676,4,1,kmeans_augmented,1
85,brewers,0.003566635352936198,0.01891249713667178,4,1,kmeans_augmented,1
86,spawning,0.005892819654194564,0.06969888575513657,5,1,kmeans_augmented,1
87,catch,0.005798761215306743,0.066974499341255,5,1,kmeans_augmented,1
88,caught,0.004796664755448542,0.05961330634565581,5,1,kmeans_augmented,1
89,prey,0.004638148047138579,0.058634518909977056,5,1,kmeans_augmented,1
90,seed,0.006836935535018817,0.02636119631901841,6,1,kmeans_augmented,1
91,grows,0.006410273885369897,0.026227243625431464,6,1,kmeans_augmented,1
92,species,0.006002777448499752,0.022125445603379985,6,1,kmeans_augmented,1
93,tree,0.004918180491571717,0.020873091603053437,6,1,kmeans_augmented,1
94,native,0.004671923827522782,0.020002319109461965,6,1,kmeans_augmented,1
