,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,name,project,cluster_alg,tfidf,h_cat_tfidf,links_tfidf,key_words_tfidf,key_phrases_tfidf
69,69,69,69,69,appeared,food,kmeans_augmented,0.0017581107653357384,0.0,0.0,0.0017581107653357384,0.0
70,70,70,70,70,appeared,food,kmeans_plain,0.0016775155087057384,0.0,0.0,0.0016775155087057384,0.0
71,71,71,71,71,appellation_d'origine_contrôlée,food,kmeans_augmented,0.004727105174053109,0.0,0.004727105174053109,0.0,0.0
72,72,72,72,72,apple,food,kmeans_augmented,0.005777978854636998,0.0,0.005777978854636998,0.0,0.0
73,73,73,73,73,apple,food,kmeans_plain,0.005862294335545785,0.0,0.005862294335545785,0.0,0.0
74,74,74,74,74,applied_sciences,food,kmeans_augmented,0.0027122019114300968,0.0027122019114300968,0.0,0.0,0.0
75,75,75,75,75,applied_sciences,food,kmeans_plain,0.0028618233916056692,0.0028618233916056692,0.0,0.0,0.0
76,76,76,76,76,april,food,kmeans_plain,0.0018596753958342407,0.0,0.0,0.0018596753958342407,0.0
77,77,77,77,77,aquaculture,food,kmeans_plain,0.004114124027852365,0.0,0.004114124027852365,0.0,0.0
78,78,78,78,78,area,food,kmeans_augmented,0.0028473189405474864,0.0,0.0,0.0028473189405474864,0.0
79,79,79,79,79,area,food,kmeans_plain,0.0028409244157327662,0.0,0.0,0.0028409244157327662,0.0
80,80,80,80,80,argentina,food,kmeans_augmented,0.005154765356632118,0.0,0.005154765356632118,0.0,0.0
81,81,81,81,81,argentina,food,kmeans_plain,0.005145196712374248,0.0,0.005145196712374248,0.0,0.0
82,82,82,82,82,asia,food,kmeans_augmented,0.008812004027473036,0.0,0.007011661652786021,0.0018003423746870153,0.0
83,83,83,83,83,asia,food,kmeans_plain,0.00987781431752,0.0,0.008165087122231329,0.0017127271952886655,0.0
84,84,84,84,84,asian_cuisine,food,kmeans_augmented,0.005189087606186593,0.005189087606186593,0.0,0.0,0.0
85,85,85,85,85,asian_cuisine,food,kmeans_plain,0.005417469053931594,0.005417469053931594,0.0,0.0,0.0
86,86,86,86,86,asian_culture,food,kmeans_augmented,0.003271647428462907,0.003271647428462907,0.0,0.0,0.0
87,87,87,87,87,asian_culture,food,kmeans_plain,0.0035020343172436643,0.0035020343172436643,0.0,0.0,0.0
88,88,88,88,88,asian_culture_by_country,food,kmeans_augmented,0.003476482214866218,0.003476482214866218,0.0,0.0,0.0
89,89,89,89,89,asian_culture_by_country,food,kmeans_plain,0.0034807312486843877,0.0034807312486843877,0.0,0.0,0.0
90,90,90,90,90,association,food,kmeans_augmented,0.002063559260297813,0.0,0.0,0.002063559260297813,0.0
91,91,91,91,91,association,food,kmeans_plain,0.0019699772746823445,0.0,0.0,0.0019699772746823445,0.0
92,92,92,92,92,asteraceae,food,kmeans_augmented,0.004236126307038923,0.0,0.004236126307038923,0.0,0.0
93,93,93,93,93,asteraceae,food,kmeans_plain,0.004114124027852365,0.0,0.004114124027852365,0.0,0.0
94,94,94,94,94,australia,food,kmeans_augmented,0.008725721556610043,0.0,0.0065804215361873215,0.0021453000204227227,0.0
95,95,95,95,95,australia,food,kmeans_plain,0.008505594623199489,0.0,0.00677306195374703,0.001732532669452459,0.0
96,96,96,96,96,available,food,kmeans_augmented,0.003087799861069125,0.0,0.0,0.002065671819658487,0.0010221280414106383
97,97,97,97,97,available,food,kmeans_plain,0.002088232387879591,0.0,0.0,0.002088232387879591,0.0
98,98,98,98,98,award,food,kmeans_augmented,0.0015492519126797796,0.0,0.0,0.0015492519126797796,0.0
99,99,99,99,99,bacon,food,kmeans_augmented,0.0064154194557043045,0.0,0.005171856106472626,0.0,0.00124356334923168
100,100,100,100,100,bacon,food,kmeans_plain,0.005950855842027271,0.0,0.004849557993234475,0.0,0.001101297848792796
101,101,101,101,101,baked_goods,food,kmeans_augmented,0.003359924859133307,0.003359924859133307,0.0,0.0,0.0
102,102,102,102,102,baked_goods,food,kmeans_plain,0.00298956934188957,0.00298956934188957,0.0,0.0,0.0
103,103,103,103,103,baking,food,kmeans_augmented,0.008859849132803303,0.0025781359895919965,0.005230735919469706,0.0,0.0010509772237415993
104,104,104,104,104,baking,food,kmeans_plain,0.008639115555655559,0.002630380024421489,0.004986736576287446,0.0,0.0010219989549466258
105,105,105,105,105,banana,food,kmeans_augmented,0.003980117683560371,0.0,0.003980117683560371,0.0,0.0
106,106,106,106,106,banana,food,kmeans_plain,0.0039000436609890853,0.0,0.0039000436609890853,0.0,0.0
107,107,107,107,107,bangladesh,food,kmeans_augmented,0.003928964859639879,0.0,0.003928964859639879,0.0,0.0
108,108,108,108,108,bangladesh,food,kmeans_plain,0.0038499199554773576,0.0,0.0038499199554773576,0.0,0.0
109,109,109,109,109,bar,food,kmeans_augmented,0.0017666792789887329,0.0,0.0,0.0,0.0017666792789887329
110,110,110,110,110,bar,food,kmeans_plain,0.0016967613243352294,0.0,0.0,0.0,0.0016967613243352294
111,111,111,111,111,barbecue,food,kmeans_augmented,0.004200406949574554,0.0,0.004200406949574554,0.0,0.0
112,112,112,112,112,barbecue,food,kmeans_plain,0.004079433403411015,0.0,0.004079433403411015,0.0,0.0
113,113,113,113,113,barley,food,kmeans_augmented,0.005022862968166715,0.0,0.005022862968166715,0.0,0.0
114,114,114,114,114,based,food,kmeans_augmented,0.004260884441915344,0.0,0.0,0.002800300760133925,0.001460583681781419
115,115,115,115,115,based,food,kmeans_plain,0.004256084300359913,0.0,0.0,0.0027897791724707426,0.001466305127889171
116,116,116,116,116,beef,food,kmeans_augmented,0.006147498786133966,0.0,0.004683980664674303,0.0,0.001463518121459662
117,117,117,117,117,beef,food,kmeans_plain,0.0061516429358238894,0.0,0.004641926513917482,0.0,0.001509716421906406
118,118,118,118,118,beer,food,kmeans_augmented,0.009549075104822016,0.0,0.00751273323342759,0.0,0.0020363418713944237
119,119,119,119,119,beer,food,kmeans_plain,0.009651754686802705,0.0,0.00779328314472136,0.0,0.0018584715420813433
120,120,120,120,120,began,food,kmeans_augmented,0.002064879675169363,0.0,0.0,0.002064879675169363,0.0
121,121,121,121,121,began,food,kmeans_plain,0.0021118714419209607,0.0,0.0,0.0021118714419209607,0.0
