,Unnamed: 0,alg,country,h_cat,key_phrases,key_words,kmeans_augmented,label,lda,links,pmi,tfidf
100,17,kmeans_augmented,1,0.0,1.0,0.0,1,sauce,0.0,0.0,0.012221365630483658,0.0040301815965727945
101,18,kmeans_augmented,1,0.0,1.0,0.0,1,recipe,0.0,0.0,0.011604861367386523,0.0038660423892039326
102,19,kmeans_augmented,1,0.0,1.0,0.0,1,ingredients,0.0,0.0,0.011175333252576605,0.0036929876999906796
103,20,kmeans_augmented,2,0.0,1.0,0.0,1,restaurant,0.0,0.0,0.03822255967588172,0.010497654740684946
104,21,kmeans_augmented,2,0.0,1.0,0.0,1,chef,0.0,0.0,0.03593242508214135,0.006721071207783909
105,22,kmeans_augmented,2,0.0,1.0,0.0,1,kitchen,0.0,0.0,0.024508403605885645,0.00443772618706743
106,23,kmeans_augmented,2,0.0,1.0,0.0,1,london,0.0,0.0,0.02284555822586706,0.004360146103289114
107,24,kmeans_augmented,2,0.0,1.0,0.0,1,street,0.0,0.0,0.022282895900470383,0.004224581103437554
108,25,kmeans_augmented,2,0.0,1.0,0.0,1,building,0.0,0.0,0.02377335988639244,0.004202569423514644
109,26,kmeans_augmented,2,0.0,1.0,0.0,1,hotel,0.0,0.0,0.02364905473665967,0.0041907517373830265
110,27,kmeans_augmented,2,0.0,1.0,0.0,1,new york city,0.0,0.0,0.024025238493693632,0.004185245114732439
111,28,kmeans_augmented,2,0.0,1.0,0.0,1,television,0.0,0.0,0.02416083960409034,0.004116073505105659
112,29,kmeans_augmented,2,0.0,1.0,0.0,1,opened,0.0,0.0,0.019300930459507364,0.004007815748157541
113,30,kmeans_augmented,3,0.0,1.0,0.0,1,company,0.0,0.0,0.02738426830703173,0.009737606668058807
114,31,kmeans_augmented,3,0.0,1.0,0.0,1,chain,0.0,0.0,0.02064583089434184,0.006015120991757682
115,32,kmeans_augmented,3,0.0,1.0,0.0,1,locations,0.0,0.0,0.020317756565390248,0.005765926783587397
116,33,kmeans_augmented,3,0.0,1.0,0.0,1,brand,0.0,0.0,0.01826452417664431,0.005601261150685704
117,34,kmeans_augmented,3,0.0,1.0,0.0,1,stores,0.0,0.0,0.019014991093881117,0.005346891914715563
118,35,kmeans_augmented,3,0.0,1.0,0.0,1,products,0.0,0.0,0.015220699927000713,0.0045641630267235205
119,36,kmeans_augmented,3,0.0,1.0,0.0,1,business,0.0,0.0,0.015023650210900909,0.004220670978339658
120,37,kmeans_augmented,3,0.0,1.0,0.0,1,franchise,0.0,0.0,0.015159484017342757,0.004059290596758357
121,38,kmeans_augmented,3,0.0,1.0,0.0,1,announced,0.0,0.0,0.014859440997546469,0.004022714632959625
122,39,kmeans_augmented,3,0.0,1.0,0.0,1,advertising,0.0,0.0,0.014307827611874059,0.003831240563232607
123,40,kmeans_augmented,4,0.0,1.0,0.0,1,wine,0.0,0.0,0.03659026485995512,0.009706710180928313
124,41,kmeans_augmented,4,0.0,1.0,0.0,1,beer,0.0,0.0,0.03584132413312311,0.009137705038899845
125,42,kmeans_augmented,4,0.0,1.0,0.0,1,brewery,0.0,0.0,0.03309092427281148,0.007070285747090901
126,43,kmeans_augmented,4,0.0,1.0,0.0,1,alcohol,0.0,0.0,0.02951225431396305,0.006610650310846243
127,44,kmeans_augmented,4,0.0,1.0,0.0,1,grapes,0.0,0.0,0.030561029985072114,0.006301614831824051
128,45,kmeans_augmented,4,0.0,1.0,0.0,1,drink,0.0,0.0,0.021086036698017348,0.005195970665022981
129,46,kmeans_augmented,4,0.0,1.0,0.0,1,brewing,0.0,0.0,0.025054212625607118,0.005119486668821021
