article_id,label_id
26,21
26,480
26,481
26,482
26,20
26,483
26,484
26,485
26,486
26,487
26,488
26,489
26,490
26,491
26,492
26,493
26,494
26,495
26,496
26,497
26,498
26,499
26,500
26,501
26,502
26,503
26,504
26,505
26,506
26,507
26,508
26,509
26,510
26,511
26,512
26,513
27,514
27,515
27,516
27,55
27,517
27,518
27,519
27,520
27,332
27,521
27,522
27,523
27,524
27,525
28,526
28,527
28,168
28,528
28,529
28,450
28,449
28,77
28,82
28,530
28,531
28,532
28,83
28,174
28,64
29,168
29,533
29,534
29,527
29,535
29,167
29,536
29,529
29,537
29,538
29,77
29,82
29,64
29,539
29,457
29,540
29,81
29,541
29,542
29,543
29,83
29,84
29,530
29,372
29,544
29,545
29,546
29,547
29,268
29,548
30,140
30,549
30,419
30,550
30,551
30,552
30,553
30,554
30,555
30,556
30,557
30,558
30,96
30,559
30,560
30,264
30,561
30,160
30,243
30,562
30,563
30,564
30,565
31,566
31,567
31,568
31,569
31,570
31,571
31,572
31,573
31,574
31,575
31,576
31,577
31,578
31,579
31,580
31,581
31,582
31,583
31,584
32,585
32,277
32,586
32,587
32,588
32,589
32,590
32,591
32,592
32,593
32,594
32,595
32,431
32,596
32,597
32,598
32,599
32,600
32,601
32,602
32,603
32,604
32,605
32,606
32,607
32,608
33,609
33,610
33,611
33,612
33,613
33,614
33,615
33,616
33,617
33,618
33,619
33,620
33,621
33,55
33,622
33,623
33,624
33,625
33,626
33,627
34,628
34,629
34,630
34,631
34,632
34,633
34,634
34,635
34,636
34,637
34,638
34,639
34,640
34,633
34,641
34,642
34,643
35,644
35,147
35,645
35,646
35,148
35,647
35,648
35,418
35,649
35,650
35,651
35,118
35,652
35,653
35,626
35,654
35,655
35,656
35,657
35,658
35,659
35,660
35,661
35,662
35,663
35,664
35,665
35,666
35,667
35,668
35,669
35,670
35,671
35,672
35,673
35,153
35,674
35,675
35,676
35,677
35,678
35,679
35,680
35,681
35,682
35,683
35,684
35,685
35,686
35,687
35,595
35,688
35,689
35,690
35,691
35,692
35,693
35,694
35,695
35,696
36,697
36,698
36,699
36,700
36,701
36,702
36,703
36,704
36,705
36,706
36,707
36,708
36,709
37,710
37,711
37,712
37,536
37,713
37,714
37,715
37,716
37,174
37,717
37,710
37,718
37,83
37,719
37,64
37,720
37,721
37,722
37,104
37,20
37,162
37,723
37,724
37,725
37,726
37,727
38,728
38,729
38,730
38,731
38,732
38,733
38,729
38,609
38,734
38,735
38,736
38,737
38,738
38,739
38,740
38,741
38,742
38,743
38,744
38,745
38,746
38,747
38,729
38,748
38,749
38,750
38,751
38,752
38,753
38,754
38,755
39,251
39,756
39,247
39,757
39,758
39,260
39,759
39,50
39,268
39,760
39,761
39,762
39,763
39,109
39,764
39,375
39,765
39,766
39,767
39,768
39,769
39,269
39,770
39,771
39,772
39,773
40,774
40,775
40,776
40,777
40,64
40,778
40,779
40,82
40,780
40,781
40,782
40,181
40,81
40,540
40,783
40,541
40,92
40,784
40,444
40,785
40,77
40,786
40,457
40,787
40,788
40,789
40,790
40,723
40,725
40,791
40,792
41,91
41,170
41,182
41,793
41,83
41,84
41,174
41,64
41,794
41,795
41,796
41,20
41,797
41,21
41,798
41,799
41,800
41,450
41,801
41,77
41,802
41,803
41,804
41,805
41,806
41,807
41,17
41,723
41,808
41,809
41,810
41,811
42,812
42,813
42,814
42,815
42,816
42,817
42,818
42,819
42,820
42,821
42,822
42,823
42,824
42,825
42,826
42,827
42,828
42,829
42,830
42,581
42,831
42,832
43,445
43,833
43,834
43,835
43,167
43,836
43,66
43,92
43,837
43,95
43,83
43,445
43,220
43,182
43,64
43,838
43,101
43,102
43,76
43,178
43,81
43,82
43,84
43,839
43,85
43,840
44,841
44,842
44,375
44,843
44,844
44,845
44,846
44,847
44,848
44,846
44,849
44,841
44,850
44,851
44,852
122,853
122,854
122,855
122,856
122,857
122,858
123,302
123,859
123,860
123,432
123,861
123,862
124,863
124,432
124,864
124,865
125,866
125,867
125,868
125,869
125,870
125,871
125,872
125,873
125,874
125,875
126,433
126,876
126,877
126,878
126,879
126,880
126,881
126,882
127,883
127,884
127,376
127,885
127,886
127,887
127,888
127,889
127,890
127,891
127,892
127,893
127,894
127,895
127,896
127,897
127,898
127,899
127,900
127,901
127,902
127,903
127,904
127,905
127,906
127,546
127,907
127,908
127,657
127,909
127,910
127,911
127,912
127,64
127,913
129,914
129,915
129,916
129,917
129,918
129,919
129,920
129,921
130,922
130,923
130,653
130,924
130,925
130,926
130,927
130,928
130,929
130,930
131,931
131,932
131,933
131,320
131,934
131,935
132,936
133,909
133,937
133,938
133,182
133,939
133,940
133,941
133,942
133,943
133,944
133,945
133,946
133,947
133,948
133,137
133,949
133,950
133,951
133,952
133,953
133,536
133,954
133,955
133,956
133,554
134,957
134,958
134,959
135,960
135,603
135,961
135,962
135,963
135,964
135,965
135,966
135,967
135,968
135,969
135,970
135,971
135,972
135,973
135,974
135,975
135,976
135,977
135,602
135,978
135,979
135,980
135,981
135,980
136,60
136,982
136,983
136,445
136,984
136,985
136,60
136,774
136,986
136,89
136,987
136,988
136,61
136,989
136,990
136,991
136,992
136,993
136,216
136,994
136,372
136,995
136,996
136,997
136,257
136,998
136,999
136,1000
136,1001
136,1002
136,1003
136,1004
136,1005
136,1006
136,1007
136,1008
137,1009
137,1010
137,1011
137,1012
137,1013
137,1014
137,1015
137,1016
138,1017
138,1018
138,1019
138,1020
138,1021
138,1022
138,1023
138,1024
138,1025
138,1026
138,1027
138,1028
138,1029
138,1030
139,1031
139,320
139,1032
139,1033
139,1034
139,1035
140,728
140,1036
140,320
140,1032
140,1033
140,1037
140,1038
140,1039
140,1040
140,1041
140,878
140,1042
140,1043
140,1044
140,1045
140,1046
140,1047
140,57
140,1048
140,1049
140,1050
140,1051
140,1052
140,1053
140,1054
140,1055
140,1056
140,1057
140,1058
140,1059
140,1048
140,1060
141,1061
141,1062
141,320
141,1063
141,1064
141,1065
141,1066
141,1067
141,1068
141,328
141,1069
141,1070
141,1071
141,1072
142,664
142,320
142,1073
142,1074
142,1075
142,673
142,627
142,1051
142,1076
142,1077
143,1078
143,320
143,1079
143,1080
143,1081
143,1082
143,1083
144,320
144,1034
144,1084
144,1085
144,1086
144,1087
144,1088
144,1089
144,1090
144,1091
144,1092
145,1093
145,169
145,1094
145,64
145,536
145,1095
145,1096
145,248
145,170
145,174
145,191
145,1097
146,1098
146,659
146,1099
146,1100
146,1101
146,1102
147,1103
147,1104
147,1105
147,1106
147,1107
148,1108
148,1109
148,1110
148,1111
148,1112
148,1113
148,1114
148,1115
148,1116
148,1117
148,1118
148,1119
148,1120
148,1121
149,1122
149,1123
149,1124
149,1125
149,349
149,1126
149,1127
149,1051
149,351
149,1128
150,1129
150,1130
150,603
150,1131
150,907
150,1132
150,1133
150,1134
150,1135
150,418
150,1136
150,616
150,688
150,1137
150,25
150,1138
150,1139
150,1140
150,1141
150,1138
150,1142
150,1143
150,1144
150,1145
150,1146
150,1147
150,1148
150,1149
150,1150
150,1151
150,1152
153,1153
153,1154
153,1153
153,1155
153,1156
153,1157
153,1158
153,1159
153,1160
153,1161
153,1162
153,1163
154,1164
154,323
154,1165
154,1166
154,1167
155,1168
155,69
155,1169
155,1170
155,1171
155,1172
156,1173
156,1018
156,1019
156,1174
156,1175
156,1176
157,1177
157,1178
157,1179
157,1180
157,1181
158,1182
158,1183
158,1184
158,1185
158,1043
158,1186
158,1187
158,1188
158,1189
158,1190
158,1191
158,1192
158,1193
158,1194
158,1195
158,1196
159,1197
159,1198
159,1199
159,1200
159,1201
159,1202
159,1203
159,1204
159,1205
159,1206
159,1207
159,1208
159,1209
160,1210
160,1211
160,1212
160,161
160,1213
160,1214
160,387
160,1215
160,1216
160,1217
160,1218
160,1219
161,1147
161,1220
161,1221
161,1222
161,1223
161,1139
161,1224
161,1225
161,1226
161,1227
161,1228
161,1229
161,1230
161,1231
161,1232
161,1233
161,1234
161,1235
161,1236
161,1237
162,1238
162,1238
162,1239
162,274
162,1240
162,1241
162,1242
162,1243
162,1244
162,1245
162,1246
162,1247
162,1248
162,1249
162,1250
162,1251
162,1252
162,1253
162,1254
162,1255
162,1256
162,1257
162,876
162,1258
162,1259
162,1260
162,1261
162,1262
162,1263
162,1264
162,1265
163,1266
163,1267
163,1268
163,1269
163,1270
163,1271
163,1272
163,131
163,1273
163,1274
163,1275
163,1276
163,1277
163,1278
163,1279
164,1280
164,1281
164,1282
164,1283
164,1284
164,1285
164,1286
165,1287
165,1173
165,1288
165,1289
165,1290
165,1291
165,1292
165,1293
165,1294
165,1295
165,1296
165,1297
165,1298
165,1299
165,1300
165,1301
165,1302
165,1303
165,1304
165,1305
165,1306
165,1176
165,1307
165,1308
165,1309
165,1310
165,1311
166,1018
166,1019
166,1312
166,1313
166,1314
168,1176
168,1315
169,1316
169,1317
169,1287
169,1019
169,1318
169,1319
169,1320
169,1321
169,1322
169,1323
169,1324
169,969
169,1325
169,1326
169,1327
169,1328
169,1329
169,1330
169,1331
169,1332
169,1333
169,1334
169,1335
169,1336
169,1337
169,1338
169,1339
169,1249
169,1176
169,1340
169,1048
169,1336
169,1341
169,1342
169,1309
170,1019
170,1176
170,1343
170,1344
170,1345
170,1346
170,1347
170,1174
170,1348
170,1349
170,1350
170,1351
170,1294
170,1352
170,1176
171,684
171,1353
171,1354
171,1355
171,1356
171,1357
171,1358
171,1359
171,1360
171,1361
171,1362
171,1363
171,943
171,1364
171,1365
171,1366
171,1367
171,1368
171,1369
171,1370
171,1371
171,1372
171,1373
171,1374
171,1375
171,1376
171,1361
171,1377
171,1378
171,1362
171,1379
171,1380
171,1381
171,1382
171,1383
171,1384
171,1385
171,1386
171,1387
171,1388
171,1389
171,1390
172,728
172,1048
172,1037
172,1391
172,1392
172,1393
172,1394
172,1395
172,405
172,1396
172,1397
172,1398
172,1399
172,1340
173,1400
173,1401
173,1402
173,1403
173,1404
173,1405
173,1406
174,684
174,1353
174,1407
174,1408
174,1380
174,1409
174,1410
174,1411
174,1412
174,1413
174,1414
174,1362
174,1361
174,1415
174,1410
174,1416
174,1374
174,1417
174,1418
174,1419
174,1420
174,1421
174,1422
174,1365
174,1423
174,1424
174,1425
175,1426
175,1427
175,1428
175,1429
175,1430
175,1431
175,1432
175,1433
175,15
176,1434
176,1435
176,137
176,1434
176,1436
176,1437
176,1438
176,1439
176,139
176,1440
176,1441
176,1442
176,1443
176,160
176,1444
176,1445
176,163
176,1446
176,553
176,554
176,1447
176,1448
176,1449
177,323
177,693
177,1450
177,1451
177,1452
177,1453
177,1454
178,1455
178,1456
178,1380
178,684
178,1457
178,1458
178,1459
178,1460
178,1461
178,1462
178,1463
178,1464
178,1465
178,1466
178,1467
178,1468
178,1469
178,1470
179,1471
179,70
179,1472
179,1473
179,1474
179,1475
179,1476
179,1477
179,1478
179,1479
179,1480
179,1193
180,878
180,1481
180,878
180,1049
180,1482
180,1048
180,1483
180,1380
180,1484
180,1485
180,1486
180,1487
180,1488
180,1489
180,1490
180,1491
180,1492
180,1493
180,1494
180,1495
180,1496
180,1497
180,1071
180,1498
180,1042
180,1499
180,1492
180,1500
180,1501
181,1502
181,1503
181,1100
181,1504
181,1505
181,1506
181,1507
181,1508
181,1509
181,1101
181,1102
181,1510
181,1511
182,1512
182,1513
182,1514
182,1515
182,1516
182,1517
182,1518
182,1519
182,1520
182,1521
182,1522
182,1523
182,1524
182,1525
182,1526
182,1527
182,1528
182,1529
182,1530
182,1531
182,1532
182,1533
183,1534
183,1535
183,1536
183,1537
183,1538
183,1539
183,1540
