,label,tfidf,pmi,country,links,alg,kmeans_augmented
54,crustacean,0.03568113644327197,0.4633449990790201,5,1,kmeans_augmented,1
55,family,0.034661600046495,0.33994555774354224,5,1,kmeans_augmented,1
56,common name,0.03178790329191228,0.3489388264669163,5,1,kmeans_augmented,1
57,black sea,0.02861801006664307,0.3856692292529076,5,1,kmeans_augmented,1
58,mediterranean sea,0.026360910660292437,0.35194691979852777,5,1,kmeans_augmented,1
59,aquaculture,0.024144284514553433,0.3193677394781946,5,1,kmeans_augmented,1
60,flowering plant,0.03646806772918391,0.17207125103562554,6,1,kmeans_augmented,1
61,fruit,0.03475553287287507,0.15348253907003664,6,1,kmeans_augmented,1
62,genus,0.034646815915660586,0.159325232440394,6,1,kmeans_augmented,1
63,cultivar,0.0278894378383357,0.13346374543557643,6,1,kmeans_augmented,1
64,tree,0.023618833243674246,0.11551598418850981,6,1,kmeans_augmented,1
65,seed,0.021854672453420907,0.10626556170797874,6,1,kmeans_augmented,1
66,perennial plant,0.020664623456383143,0.10150763737353699,6,1,kmeans_augmented,1
67,carl linnaeus,0.02053334209370311,0.0996212260508219,6,1,kmeans_augmented,1
68,india,0.020141834943715447,0.09276666563935032,6,1,kmeans_augmented,1
69,asia,0.01905958456395884,0.09277281727500279,6,1,kmeans_augmented,1
70,dietary supplement,0.010990212636616105,0.06409416420423647,0,1,kmeans_augmented,1
