,project,cluster_alg,cluster_num,label_name,exposures,count,share,borda,avg_borda
101,media,kmeans_plain,6,abc_news,26,1,0.038461538461538464,1,0.038461538461538464
102,media,kmeans_plain,6,post,26,2,0.07692307692307693,7,0.2692307692307692
103,media,kmeans_plain,6,years,26,0,0.0,0,0.0
104,media,kmeans_plain,6,war,26,1,0.038461538461538464,1,0.038461538461538464
105,media,kmeans_plain,6,births_by_decade,26,1,0.038461538461538464,5,0.19230769230769232
106,media,kmeans_plain,6,times,26,1,0.038461538461538464,4,0.15384615384615385
107,media,kmeans_plain,6,find,26,1,0.038461538461538464,4,0.15384615384615385
108,technology,LDA,4,vehicle_parts,17,11,0.6470588235294118,44,2.588235294117647
109,technology,LDA,4,pressure,17,1,0.058823529411764705,1,0.058823529411764705
110,technology,LDA,4,valve,17,0,0.0,0,0.0
111,technology,LDA,4,vehicle_technology,17,13,0.7647058823529411,50,2.9411764705882355
112,technology,LDA,4,car,17,3,0.17647058823529413,9,0.5294117647058824
113,technology,LDA,4,vehicle,17,5,0.29411764705882354,13,0.7647058823529411
114,technology,LDA,4,rotating_machines,17,4,0.23529411764705882,15,0.8823529411764706
115,technology,LDA,4,cars,17,6,0.35294117647058826,13,0.7647058823529411
116,technology,LDA,4,engines,34,18,0.5294117647058824,48,1.411764705882353
117,technology,LDA,4,cylinder,34,2,0.058823529411764705,6,0.17647058823529413
118,technology,LDA,4,design,17,2,0.11764705882352941,3,0.17647058823529413
119,technology,LDA,4,engine,17,1,0.058823529411764705,4,0.23529411764705882
120,technology,LDA,4,system,17,6,0.35294117647058826,14,0.8235294117647058
121,technology,LDA,4,power,17,1,0.058823529411764705,1,0.058823529411764705
122,technology,LDA,4,speed,17,1,0.058823529411764705,2,0.11764705882352941
123,technology,LDA,4,motors,17,5,0.29411764705882354,15,0.8823529411764706
124,technology,LDA,4,internal_combustion_engine,17,3,0.17647058823529413,10,0.5882352941176471
125,technology,LDA,4,crankshaft,17,0,0.0,0,0.0
126,technology,LDA,4,machines,17,4,0.23529411764705882,11,0.6470588235294118
127,technology,LDA,4,automobile,17,6,0.35294117647058826,19,1.1176470588235294
128,food,kmeans_augmented,1,culture_by_country,29,5,0.1724137931034483,18,0.6206896551724138
129,food,kmeans_augmented,1,sea,29,0,0.0,0,0.0
130,food,kmeans_augmented,1,cuisine,58,40,0.6896551724137931,158,2.7241379310344827
131,food,kmeans_augmented,1,abalone,29,1,0.034482758620689655,5,0.1724137931034483
132,food,kmeans_augmented,1,traditional,29,7,0.2413793103448276,18,0.6206896551724138
133,food,kmeans_augmented,1,food_and_drink_by_country,29,17,0.5862068965517241,50,1.7241379310344827
134,food,kmeans_augmented,1,range,29,1,0.034482758620689655,1,0.034482758620689655
135,food,kmeans_augmented,1,cuisine_by_country,29,12,0.41379310344827586,42,1.4482758620689655
136,food,kmeans_augmented,1,pork,29,1,0.034482758620689655,2,0.06896551724137931
137,food,kmeans_augmented,1,sugar,29,0,0.0,0,0.0
138,food,kmeans_augmented,1,cuisine_by_region,29,11,0.3793103448275862,33,1.1379310344827587
139,food,kmeans_augmented,1,bread,29,1,0.034482758620689655,4,0.13793103448275862
