,article_id,label_id,tfidf
33217,1922,15073,0.0016749592481237483
33218,1922,15074,0.0016749592481237483
33219,1934,15101,0.003299709969421398
33220,1935,15101,0.003299709969421398
33221,1934,15102,0.0016749592481237483
33222,1934,15103,0.0016749592481237483
33223,1934,15104,0.0016749592481237483
33224,1934,15105,0.0016749592481237483
33225,1934,15106,0.003299709969421398
33226,1934,15106,0.003299709969421398
33227,1934,15107,0.0016749592481237483
33228,1934,15108,0.0016749592481237483
33229,1934,15109,0.0016749592481237483
33230,1934,15110,0.003299709969421398
33231,3645,15110,0.003299709969421398
33232,1934,15111,0.0016749592481237483
33233,1934,15112,0.0016749592481237483
33234,1934,15113,0.0016749592481237483
33235,1935,15114,0.0016749592481237483
33236,1935,15115,0.0016749592481237483
33237,1935,15116,0.0016749592481237483
33238,1935,15117,0.0016749592481237483
33239,1935,15118,0.0016749592481237483
33240,1935,15119,0.0016749592481237483
33241,1939,15129,0.0016749592481237483
33242,1939,15130,0.001649854984710699
33243,1939,15131,0.0016749592481237483
33244,1939,15132,0.0016749592481237483
33245,1939,15133,0.0016749592481237483
33246,1951,15173,0.0016749592481237483
33247,1951,15174,0.0016749592481237483
33248,1951,15175,0.0016749592481237483
33249,3249,15211,0.0032107597790998403
33250,3706,15211,0.0032107597790998403
33251,4529,15245,0.001649854984710699
33252,4529,15246,0.0016267613010195457
33253,2756,15251,0.001649854984710699
33254,1968,15276,0.0016053798895499201
33255,1968,15277,0.0016749592481237483
33256,4600,15302,0.001649854984710699
33257,1992,15379,0.0016749592481237483
33258,1992,15380,0.0016267613010195457
33259,1992,15381,0.0016749592481237483
33260,1992,15382,0.0016749592481237483
33261,1992,15383,0.0016749592481237483
33262,1992,15384,0.001649854984710699
33263,1992,15385,0.003299709969421398
33264,2955,15385,0.003299709969421398
33265,1992,15386,0.0016749592481237483
33266,1992,15387,0.0016749592481237483
33267,1992,15388,0.0016749592481237483
33268,1992,15389,0.001649854984710699
33269,1992,15390,0.0016749592481237483
33270,1992,15391,0.0016749592481237483
33271,1992,15392,0.0016749592481237483
33272,1998,15411,0.0016749592481237483
33273,1998,15412,0.0016749592481237483
33274,1998,15413,0.0016749592481237483
33275,1998,15414,0.0016749592481237483
33276,1998,15415,0.0016749592481237483
33277,1998,15416,0.0016749592481237483
33278,1998,15417,0.0016749592481237483
33279,1998,15418,0.0016749592481237483
33280,1998,15419,0.0016749592481237483
33281,1998,15420,0.0016749592481237483
33282,1998,15421,0.0016749592481237483
33283,1998,15422,0.0016749592481237483
33284,1998,15423,0.001649854984710699
33285,1998,15424,0.0016749592481237483
33286,4427,1391,0.001649854984710699
33287,2044,15619,0.0016749592481237483
33288,2044,15620,0.0016749592481237483
33289,2044,15621,0.0016749592481237483
33290,2044,15622,0.0016749592481237483
33291,2044,15623,0.0016749592481237483
33292,2044,15624,0.0016749592481237483
33293,2531,15686,0.001649854984710699
33294,2064,15691,0.0016749592481237483
33295,2079,15730,0.0016749592481237483
33296,2079,15731,0.0016749592481237483
33297,2079,15732,0.0016749592481237483
33298,2079,15733,0.0016749592481237483
33299,2079,15734,0.0016749592481237483
33300,2079,15735,0.0016749592481237483
33301,2079,15736,0.0016749592481237483
33302,2079,15737,0.0016749592481237483
33303,2080,15738,0.0016749592481237483
33304,2080,15739,0.0016749592481237483
33305,2080,15740,0.0016749592481237483
33306,2080,15741,0.0016749592481237483
33307,2080,15742,0.0016749592481237483
33308,2080,15743,0.0016749592481237483
33309,2080,15744,0.001649854984710699
33310,2080,15745,0.0016749592481237483
33311,2081,15746,0.0016749592481237483
33312,2081,15747,0.0016749592481237483
33313,2081,15748,0.0016749592481237483
33314,2081,15749,0.0016749592481237483
33315,2081,15750,0.0016749592481237483
33316,2081,15751,0.0016749592481237483
33317,2081,15752,0.0016749592481237483
33318,2081,854,0.003299709969421398
33319,2531,854,0.003299709969421398
33320,2081,15753,0.0016749592481237483
33321,2081,15754,0.003299709969421398
33322,3354,15754,0.003299709969421398
33323,2081,15755,0.0048802839030586374
33324,2735,15755,0.0048802839030586374
33325,3763,15755,0.0048802839030586374
33326,2081,15756,0.0016749592481237483
33327,2081,15757,0.0016749592481237483
33328,2081,15758,0.0048802839030586374
33329,4433,15758,0.0048802839030586374
33330,4433,15758,0.0048802839030586374
33331,2081,15759,0.004816139668649761
33332,2082,15759,0.004816139668649761
33333,2863,15759,0.004816139668649761
33334,2081,15760,0.003299709969421398
33335,2614,15760,0.003299709969421398
33336,2081,15761,0.0016749592481237483
33337,2081,15762,0.003299709969421398
33338,2082,15762,0.003299709969421398
33339,2081,15763,0.0016749592481237483
33340,2081,15764,0.0016749592481237483
33341,2081,15765,0.003299709969421398
33342,2427,15765,0.003299709969421398
33343,2081,15766,0.0016749592481237483
33344,2081,15767,0.0016749592481237483
33345,2081,15768,0.0016749592481237483
33346,2081,15769,0.0016749592481237483
33347,2081,15770,0.0016749592481237483
33348,2082,15369,0.0016749592481237483
33349,2082,15771,0.0016749592481237483
33350,2082,15772,0.0016749592481237483
33351,2082,15773,0.0016749592481237483
33352,2082,15774,0.0016749592481237483
33353,2082,15775,0.0016749592481237483
33354,2082,15776,0.0016749592481237483
33355,2082,15777,0.0016749592481237483
33356,2082,15778,0.0016749592481237483
33357,2082,15779,0.0016749592481237483
33358,2082,15780,0.0016749592481237483
33359,2082,15781,0.0016749592481237483
33360,2082,15782,0.0016749592481237483
33361,2082,15783,0.0016749592481237483
33362,2082,15784,0.0016749592481237483
33363,2082,15785,0.003299709969421398
33364,2553,15785,0.003299709969421398
33365,2082,15786,0.006421519558199681
33366,2553,15786,0.006421519558199681
33367,2553,15786,0.006421519558199681
33368,3504,15786,0.006421519558199681
33369,2082,15787,0.0016749592481237483
33370,2082,15788,0.0016749592481237483
33371,2082,15789,0.0016749592481237483
33372,2082,15790,0.0016749592481237483
33373,2082,15791,0.0016749592481237483
33374,2082,15792,0.0016749592481237483
33375,2082,15793,0.0016749592481237483
33376,2082,15794,0.0016749592481237483
33377,2082,15795,0.0016749592481237483
33378,2082,15796,0.0016749592481237483
33379,2082,15797,0.0016749592481237483
33380,2082,15798,0.0016749592481237483
33381,2082,15799,0.0016749592481237483
33382,2082,15800,0.0016749592481237483
33383,2082,15801,0.0016749592481237483
33384,2082,15802,0.0016749592481237483
33385,2082,15803,0.0016749592481237483
33386,2082,15804,0.0016749592481237483
33387,2082,15805,0.0016749592481237483
33388,2082,15806,0.0016749592481237483
33389,2082,15807,0.0016749592481237483
33390,2082,15808,0.0016749592481237483
33391,2082,15809,0.0016749592481237483
33392,2082,15810,0.0016749592481237483
33393,2082,15811,0.0016749592481237483
33394,2082,15812,0.0016749592481237483
33395,2082,15813,0.0016749592481237483
33396,2082,15814,0.0016749592481237483
33397,2082,15815,0.0016749592481237483
33398,2082,15816,0.0016749592481237483
33399,2082,15817,0.0016749592481237483
33400,2082,15818,0.0016749592481237483
33401,2085,15824,0.003299709969421398
33402,3652,15824,0.003299709969421398
33403,2104,15890,0.0016749592481237483
33404,2104,15891,0.0016749592481237483
33405,3751,15900,0.0016053798895499201
33406,2131,16030,0.0016749592481237483
33407,2131,16031,0.0016749592481237483
33408,2131,16032,0.0016749592481237483
33409,3796,16043,0.0032535226020390913
33410,3968,16043,0.0032535226020390913
33411,2142,16068,0.0016749592481237483
33412,2142,16069,0.0016749592481237483
33413,2142,16070,0.0016749592481237483
33414,2142,16071,0.0016749592481237483
33415,2142,16072,0.0016749592481237483
33416,2142,16073,0.0016749592481237483
33417,2142,16074,0.001649854984710699
33418,2142,16075,0.0016749592481237483
33419,2142,16076,0.0016749592481237483
33420,2142,16077,0.0032535226020390913
33421,2616,16077,0.0032535226020390913
33422,2161,16153,0.0016749592481237483
33423,2161,16154,0.0016749592481237483
33424,2164,16160,0.0016749592481237483
33425,2164,16161,0.0016749592481237483
33426,2164,16162,0.0016749592481237483
33427,2164,16163,0.0016749592481237483
33428,2164,16164,0.0016749592481237483
33429,2164,16165,0.0016749592481237483
33430,2164,16166,0.003299709969421398
33431,4431,16166,0.003299709969421398
33432,2164,16167,0.0016749592481237483
33433,2164,16168,0.0016749592481237483
33434,2164,16169,0.0016749592481237483
33435,2164,16170,0.0016749592481237483
33436,2164,16171,0.0016749592481237483
33437,2164,16172,0.0016749592481237483
33438,2164,16173,0.003299709969421398
33439,2164,16173,0.003299709969421398
33440,2164,16174,0.0016749592481237483
33441,2164,16175,0.0016749592481237483
33442,2164,16176,0.0016749592481237483
33443,2200,16292,0.0032535226020390913
33444,4479,16292,0.0032535226020390913
33445,2200,16293,0.0016749592481237483
33446,2200,16294,0.0016749592481237483
33447,2200,16295,0.0016749592481237483
33448,2200,16296,0.0016749592481237483
33449,4324,16315,0.0016053798895499201
33450,2228,16409,0.0016749592481237483
33451,2228,16410,0.0016749592481237483
33452,2228,16411,0.0016749592481237483
33453,2228,16412,0.0016749592481237483
33454,2228,16413,0.0016749592481237483
33455,2228,16414,0.0016749592481237483
33456,2228,16415,0.0016749592481237483
33457,2228,16416,0.0016749592481237483
33458,2228,16417,0.0016749592481237483
33459,2228,16418,0.0016749592481237483
33460,2228,16419,0.0016749592481237483
33461,2228,16420,0.0016749592481237483
33462,2228,16421,0.0016749592481237483
33463,2228,16422,0.0016749592481237483
33464,2228,16423,0.0016749592481237483
33465,2228,16424,0.0016749592481237483
33466,2228,16425,0.0016749592481237483
33467,2553,16498,0.0016267613010195457
33468,2277,16603,0.0016749592481237483
33469,2277,16604,0.0016749592481237483
33470,2277,16605,0.0016749592481237483
33471,2277,16606,0.0016749592481237483
33472,2307,16701,0.0016749592481237483
33473,2616,16721,0.0016267613010195457
33474,2337,16814,0.0016749592481237483
33475,2337,16815,0.0016749592481237483
33476,2337,16816,0.0016749592481237483
33477,2337,16817,0.0016749592481237483
33478,2337,16818,0.0016749592481237483
33479,2339,16824,0.001649854984710699
33480,3193,16879,0.0016267613010195457
33481,2407,17101,0.0016749592481237483
