,label,tfidf,pmi,augmented,LDA,plain,share,avg_borda,h_cat_tfidf,h_cat_pmi,links_tfidf,links_pmi,key_words_tfidf,key_words_pmi,key_phrases_tfidf,key_phrases_pmi,lda_tfidf,lda_pmi
364,operations,0.00559728570924196,0.018447461306099533,1,0,1,0.17647058823529413,0.2352941176470588,0.0,0.0,0.0,0.0,0.00559728570924196,0.018447461306099533,0.0,0.0,0.0,0.0
365,optical,0.004968637653539476,0.0219257161166956,1,0,1,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.004968637653539476,0.0219257161166956,0.0,0.0
366,optical_disc,0.019690039061641632,0.16193263568666258,0,0,1,0.125,0.125,0.0,0.0,0.019690039061641632,0.16193263568666258,0.0,0.0,0.0,0.0,0.0,0.0
367,optics,0.020460197625222228,0.08279699676631788,1,1,1,0.5,1.4444444444444444,0.020460197625222228,0.08279699676631788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,organic_compound,0.01882925510325697,0.10954635897893183,1,1,1,0.5625,2.0,0.0,0.0,0.01882925510325697,0.10954635897893183,0.0,0.0,0.0,0.0,0.0,0.0
369,owned,0.0059060985061597715,0.019903092934009745,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0059060985061597715,0.019903092934009745,0.0,0.0,0.0,0.0
370,packet,0.006421802924471289,0.032440692032933996,1,0,1,0.05882352941176471,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.006421802924471289,0.032440692032933996,0.0,0.0
371,pakistan,0.048181487241890184,0.5714034122179417,1,0,1,0.0,0.0,0.0,0.0,0.048181487241890184,0.5714034122179417,0.0,0.0,0.0,0.0,0.0,0.0
372,paper,0.019441019426308367,0.0816245664695755,1,1,1,0.16666666666666666,0.5,0.0,0.0,0.019441019426308367,0.0816245664695755,0.0,0.0,0.004253732063907375,0.015779138167095686,0.0,0.0
373,peer-to-peer,0.020715120125403892,0.09774241997559373,0,0,1,0.2727272727272727,1.2727272727272727,0.0,0.0,0.020715120125403892,0.09774241997559373,0.0,0.0,0.0,0.0,0.0,0.0
374,people,0.009413457686809084,0.05831829563417125,1,1,1,0.42857142857142855,1.5714285714285714,0.009413457686809084,0.05831829563417125,0.0,0.0,0.0063175781814605505,0.0278791478549058,0.004239557321901189,0.01689308022260492,0.0,0.0
375,people_by_status,0.009189375898840413,0.05973207249802995,0,1,0,0.16666666666666666,0.5,0.009189375898840413,0.05973207249802995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,phone,0.0049045264399867824,0.0198174274550838,1,0,1,0.08,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0049045264399867824,0.0198174274550838,0.0,0.0
377,plant,0.008588164805000667,0.0320447413161883,1,1,1,0.2307692307692308,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.008588164805000667,0.0320447413161883,0.0,0.0
378,plant_products,0.01927304193597117,0.06884944164541422,1,0,1,0.6818181818181818,2.4545454545454546,0.01927304193597117,0.06884944164541422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,plants,0.007739482444463238,0.02568370871130808,1,1,1,0.5,1.5909090909090908,0.0,0.0,0.0,0.0,0.007739482444463238,0.02568370871130808,0.0,0.0,0.0,0.0
380,plants_and_humans,0.021673339221840875,0.07546736060176631,1,1,1,0.3478260869565217,0.9130434782608696,0.021673339221840875,0.07546736060176631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,plastic,0.019216656442644208,0.08593059922067321,1,1,1,0.047619047619047616,0.19047619047619047,0.0,0.0,0.019216656442644208,0.08593059922067321,0.0,0.0,0.002536979878532129,0.009784293379065407,0.0,0.0
